<unk>	0	0.0
<s>	1	0.0
</s>	2	0.0
▁	3	-2.5056729316711426
▁##	4	-2.543260335922241
s	5	-4.268590450286865
a	6	-4.7080183029174805
i	7	-4.829942226409912
t	8	-4.882691860198975
e	9	-4.900885105133057
o	10	-5.049661159515381
u	11	-5.0827531814575195
n	12	-5.40947151184082
y	13	-5.532572269439697
r	14	-5.541431427001953
k	15	-5.655602931976318
en	16	-5.774274826049805
m	17	-5.81063175201416
d	18	-5.814404487609863
l	19	-5.9897942543029785
te	20	-5.998772144317627
an	21	-6.004938125610352
er	22	-6.014485836029053
g	23	-6.080861568450928
h	24	-6.146616458892822
ta	25	-6.151656627655029
na	26	-6.173492908477783
ti	27	-6.196861267089844
c	28	-6.203068733215332
z	29	-6.22562837600708
li	30	-6.254300594329834
la	31	-6.308806419372559
p	32	-6.34281587600708
j	33	-6.345705509185791
le	34	-6.370855808258057
ni	35	-6.37823486328125
in	36	-6.3794965744018555
а	37	-6.389225482940674
da	38	-6.396571636199951
ar	39	-6.407273769378662
ne	40	-6.423909664154053
re	41	-6.432260990142822
ra	42	-6.43578577041626
ka	43	-6.451960563659668
es	44	-6.475897789001465
и	45	-6.4815897941589355
b	46	-6.483768939971924
si	47	-6.518874168395996
е	48	-6.557440280914307
as	49	-6.57251501083374
ja	50	-6.6269402503967285
у	51	-6.642136096954346
de	52	-6.6543169021606445
ri	53	-6.666893005371094
ma	54	-6.6816864013671875
ة	55	-6.6890997886657715
ς	56	-6.716422080993652
v	57	-6.729649543762207
ko	58	-6.736138343811035
al	59	-6.750977993011475
ga	60	-6.753785133361816
is	61	-6.7665228843688965
je	62	-6.767515182495117
ch	63	-6.777488708496094
lo	64	-6.783847808837891
f	65	-6.806281566619873
wa	66	-6.824693202972412
et	67	-6.831120014190674
т	68	-6.856699466705322
to	69	-6.876136779785156
di	70	-6.88683557510376
st	71	-6.915764331817627
no	72	-6.918553829193115
se	73	-6.926940441131592
▁S	74	-6.94387149810791
é	75	-6.9455885887146
us	76	-6.950878143310547
я	77	-6.9513444900512695
os	78	-6.952057361602783
ng	79	-6.973544120788574
ed	80	-6.983389854431152
w	81	-6.984866619110107
on	82	-6.990813732147217
sa	83	-6.998934745788574
д	84	-7.002364158630371
ba	85	-7.009074687957764
ha	86	-7.017341136932373
ing	87	-7.043586730957031
í	88	-7.047191143035889
ki	89	-7.047317981719971
zi	90	-7.048397064208984
м	91	-7.048670768737793
ku	92	-7.052855491638184
me	93	-7.064021110534668
ro	94	-7.071511268615723
ם	95	-7.090568542480469
▁A	96	-7.095240116119385
ke	97	-7.099531650543213
с	98	-7.108896255493164
ي	99	-7.114192485809326
va	100	-7.1201300621032715
it	101	-7.132396697998047
ce	102	-7.144259452819824
ی	103	-7.160669803619385
ge	104	-7.167163372039795
р	105	-7.169110298156738
о	106	-7.172468185424805
й	107	-7.178431034088135
el	108	-7.182392120361328
ir	109	-7.183974266052246
at	110	-7.185176849365234
ci	111	-7.189388751983643
mi	112	-7.2074666023254395
ve	113	-7.208592414855957
ur	114	-7.219447135925293
za	115	-7.2411346435546875
x	116	-7.241907119750977
л	117	-7.246865749359131
х	118	-7.251331806182861
il	119	-7.2522664070129395
н	120	-7.254329681396484
vi	121	-7.266512870788574
к	122	-7.272625923156738
do	123	-7.303072452545166
ж	124	-7.309327125549316
ы	125	-7.309772968292236
▁di	126	-7.3145527839660645
на	127	-7.315931797027588
um	128	-7.336095333099365
kan	129	-7.343742370605469
ho	130	-7.346096038818359
г	131	-7.352404594421387
▁ku	132	-7.353709697723389
or	133	-7.353737831115723
▁C	134	-7.359857559204102
tu	135	-7.381007194519043
we	136	-7.384259223937988
q	137	-7.386710166931152
ze	138	-7.388162612915039
em	139	-7.388628005981445
ка	140	-7.40244722366333
ه	141	-7.404356002807617
م	142	-7.407651424407959
ш	143	-7.408311367034912
ā	144	-7.421487331390381
та	145	-7.425919532775879
▁ma	146	-7.427648067474365
ca	147	-7.428971767425537
lu	148	-7.434104919433594
و	149	-7.442458629608154
ek	150	-7.453686714172363
á	151	-7.454012393951416
mo	152	-7.45683479309082
ן	153	-7.458124160766602
ا	154	-7.458888530731201
ن	155	-7.4664106369018555
ju	156	-7.471452713012695
am	157	-7.477973937988281
bi	158	-7.494528770446777
un	159	-7.496344566345215
ul	160	-7.496386528015137
ji	161	-7.496958255767822
ak	162	-7.503773212432861
▁M	163	-7.516758441925049
ya	164	-7.52087926864624
і	165	-7.521801948547363
▁P	166	-7.52223014831543
▁E	167	-7.525949954986572
ت	168	-7.530279636383057
gi	169	-7.532467842102051
▁be	170	-7.53703498840332
id	171	-7.544171333312988
ה	172	-7.54525089263916
ни	173	-7.547163486480713
ie	174	-7.549716472625732
да	175	-7.555577754974365
ä	176	-7.569909572601318
š	177	-7.571279048919678
ten	178	-7.576064109802246
du	179	-7.593303203582764
▁T	180	-7.603919506072998
в	181	-7.604865550994873
▁po	182	-7.607050895690918
ل	183	-7.6111602783203125
▁I	184	-7.615238189697266
▁m	185	-7.62357234954834
be	186	-7.626459121704102
ter	187	-7.629127025604248
د	188	-7.653398036956787
man	189	-7.660943508148193
▁D	190	-7.662310600280762
п	191	-7.667682647705078
з	192	-7.668075084686279
gu	193	-7.674091815948486
pa	194	-7.678501129150391
▁B	195	-7.6818413734436035
▁K	196	-7.684872150421143
ru	197	-7.685370445251465
ა	198	-7.687524318695068
co	199	-7.688055992126465
go	200	-7.689033508300781
he	201	-7.697177410125732
hi	202	-7.705078125
ش	203	-7.71009635925293
▁se	204	-7.710843563079834
